	KO_TP_1	KO_TP_2	KO_TP_3	KO_TP_4	KO_TP_5	KO_baseline_1	KO_baseline_2	KO_baseline_3	KO_baseline_4	KO_baseline_5	WT_TP_1	WT_TP_2	WT_TP_3	WT_TP_4	WT_TP_5	WT_baseline_1	WT_baseline_2	WT_baseline_3	WT_baseline_4	WT_baseline_5	WT_baseline_mean	WT_TP_mean	WT_TP_vs_WT_baseline_log2fc	pval	padj	differentially_expressed
Fam98a	14.5527951597323	14.5176878399476	14.4953304059607	14.5196731059584	14.3940808014929	14.5009352186079	14.5959509181559	14.4681785407733	14.4539264892535	14.3497580854061	14.765001137276	14.3287800966361	14.450573351205	14.5142394053298	14.5905461168389	14.6629520361205	14.5594547683374	14.658719148869	14.5052967453991	14.7588373955175	14.6290520188487	14.5298280214572	-0.0992239973915225	0.28425157962723	0.381393454287648	FALSE
Q3TKT4.2	15.3387503081345	15.2141635187212	15.39189805175	15.2932489048198	15.2734641666378	15.5935778673446	15.7857436343036	15.6891298663469	15.6478490659937	15.6653164842008	15.6913700404738	15.7360398379254	15.6763868673339	15.8845306708294	15.8297326436718	15.7042522042422	15.6806589549599	15.8213504768659	15.775952293911	15.811537760215	15.7587503380388	15.7636120120469	0.00486167400806714	0.924175158803967	0.945922007235606	FALSE
Cwc27.Sdccag10	13.2840013270989	13.2130571216256	13.3693383358247	13.2321225834527	12.7578462489079	13.6416340815176	13.7566605597295	13.8051493431906	14.0231739017254	13.8361194101975	13.9810142141562	13.8734344996433	14.109593993714	13.985850829327	13.9142543119072	13.9538872322247	13.8527148085218	14.1311978250252	14.0134884307495	14.1011385599906	14.0104853713024	13.9728295697495	-0.0376558015528339	0.576086957298311	0.663123671616677	FALSE
Nlrx1	14.2266454979335	14.1975622718027	14.3333510514801	14.087479416236	14.0228445865663	13.8186121334622	13.7554196482731	13.8067006499935	13.992124024306	13.8896465527381	13.5377037479076	13.5548646064554	13.4701250086308	13.7564625025995	13.8738670154897	13.4453382258355	13.4279151509595	13.6255262118799	13.59885506687	13.6845294824185	13.5564328275926	13.6386045762166	0.0821717486239706	0.39793846133417	0.497735158068201	FALSE
Uba3.Ube1c	15.3946167632126	15.1962409465327	15.281719980761	15.3048789013082	15.0926869531557	15.0054359550134	14.9813576763368	15.0420483461971	15.148023682808	15.2790555357866	15.3685951266893	14.9963278348551	15.115360709022	15.1439092999365	15.0783593228228	14.9903610584275	15.072639267685	15.0909022113345	14.8681955791343	15.0529670461606	15.0150130325484	15.1405104586652	0.125497426116766	0.135262126539785	0.210261269693748	FALSE
Uri1.Nnx3.Ppp1r19.Rmp.Uri	13.1777636631832	13.1740127892823	13.1911749093451	13.0909757929365	13.1075783580982	13.3359904222849	13.3104565759056	13.3294319752838	13.3369667429476	13.3852692426429	13.2705946400397	13.1551455257047	12.9402108060512	12.9840979825532	12.8307944495836	13.4994722125616	13.2639982873056	13.5703538215698	13.5222872738433	13.5861478225683	13.4884518835697	13.0361686807865	-0.452283202783219	0.00209421131541127	0.00804017071336805	FALSE
Q3TLH4.5	14.9780400721544	15.0210927535231	15.0051157270326	15.0603370707012	14.8963939025845	15.1025539785948	15.1102182041122	15.1612460655732	15.2034818345754	15.3029066199717	15.3031599932655	14.9975411680854	15.0482739960588	15.0655423565557	15.0872805038385	15.2343871026038	15.2141369508351	15.3222978789852	15.305516729828	15.4049585878219	15.2962594500148	15.1003596035608	-0.195899846454042	0.0174256769443365	0.0402779183907597	FALSE
Trappc10.Tmem1	12.4475817792814	NA	12.755263155086	12.1814659871763	12.1239532461663	NA	12.0824617688358	12.0590300623735	12.577792288525	12.5743262492371	12.777284086601	13.039074975689	12.7693440533573	12.5592456262414	12.3696246078322	NA	NA	NA	NA	12.4593393979671	12.4593393979671	12.7029146699442	0.24357527197709	NA	NA	FALSE
Dtl.Cdt2.L2dtl.Ramp	NA	NA	9.46370214485142	NA	7.99721335987542	11.1514161747745	11.831362670099	11.3768904986265	11.3942215107187	11.2268336197656	10.920695250137	10.9844754249041	10.5839759461684	10.5045310156306	10.3134272658137	12.1021003753219	12.3265446509382	12.452048147338	12.2674333834978	12.3978457356307	12.3091944585453	10.6614209805308	-1.64777347801453	3.26629370934905e-05	0.000456073734474672	TRUE
Gdpgp1	12.8256862670704	12.8747777581106	12.5982200292132	12.9729349254484	12.8444233168551	12.5249334323993	12.5118860474842	12.6190438340228	12.5236207603629	12.7554175618089	12.848748114612	12.6979753224955	12.5648306547526	12.5701830249835	12.6390964700101	12.5867201837729	12.5427271976563	11.9271260840105	12.6886371618412	12.3953815037485	12.4281184262059	12.6641667173707	0.236048291164856	0.159136769612385	0.239539554427032	FALSE
Scrn3	11.2781125577259	11.0071884920246	11.0640016946436	11.4543455660616	11.3492978177797	10.6336491675572	9.68730044086077	11.012387096135	11.482359250133	10.859674545548	11.9093981034791	11.416945272276	10.8512024624965	11.0113111306037	11.1616357932377	10.4800227134105	10.3960374379122	10.9334546119149	10.5380530969385	10.7230721432696	10.6141280006892	11.2700985524186	0.655970551729443	0.0198475392066318	0.0445167026588733	FALSE
Gtf3c3.AL022818	13.1201682037293	13.0348247493173	13.1319614300634	12.9951611906324	12.7933838403836	13.0389498450825	13.1556183297249	13.0172016330452	13.2146864269432	13.2912282678078	13.707013948435	13.6311429436588	13.4974402210423	13.5366479086614	13.5328794282609	13.2112738627157	13.0895961336572	13.2493090390295	13.0960776586605	13.1155964255766	13.1523706239279	13.5810248900117	0.428654266083775	3.32707528470859e-05	0.000459642080074081	FALSE
Pyroxd1	NA	10.4872471612719	10.4345761062096	9.93985538611547	9.80166956323407	10.7423515456574	10.8398808768577	11.0316116129726	10.5318980088234	NA	11.1116964643619	10.4737158951185	10.7247781524684	9.92113428966533	10.5855541097912	9.92796754404564	NA	10.9915360178631	10.9540581424514	10.7433618068659	10.6542308778065	10.5633757822811	-0.0908550955254395	0.782349109475168	0.836587407053504	FALSE
Ccdc102a	9.96272397032108	10.2577885356659	10.3610884274207	10.4075014661611	10.6675905863477	10.4119875706429	10.0531113364596	NA	10.5289228860658	NA	11.1907444776918	10.7562143716169	10.7536931109505	11.1215853187454	NA	9.77183277026335	10.6729379733866	NA	10.1433959698578	10.5634441694308	10.2879027207346	10.9555593197511	0.667656599016517	0.0396109625871536	0.0782946511947126	FALSE
Qsox2.Qscn6l1	12.0138530298396	12.0947177148569	12.0543601175977	12.047389790763	11.6957459329675	11.2578592346396	11.344140532391	11.7126903476032	11.883460446834	11.3854364300327	11.1648001029662	11.3142490123636	11.511965089793	11.4813554571921	11.5279363276961	11.2267854629126	10.7343878565798	10.8725132893768	11.2015909815188	10.9759339254286	11.0022423031633	11.4000611980022	0.397818894838894	0.0109412310393241	0.0280274253768026	FALSE
Micall2.Jrab	12.7783749216648	12.5388339742459	12.8279122856144	12.6586444048536	12.5636515122691	12.5485498124749	12.7918628980107	12.8431339477254	12.6444962436977	12.7683042686331	14.9279168185005	14.6548261975672	14.6634635965916	14.7271653089418	14.6762105405112	13.5245662004873	13.4999455172784	13.6817984237122	13.4818246533866	13.5517563186164	13.5479782226962	14.7299164924224	1.18193826972627	2.26445538881452e-07	2.42567109336147e-05	TRUE
Xylb	12.1845716509078	12.2245232902621	12.4172196150991	12.3573320648294	11.607737170361	11.9705553143225	11.9604581339655	12.0981768717299	12.0411491906424	12.0769892443365	12.3836664968245	12.2266439928599	12.0398580810214	12.0507125466762	12.1518759362522	11.8195005447521	11.7803798236813	12.1496550431594	12.1759642736424	11.9399868429481	11.9730973056367	12.1705514107268	0.197454105090173	0.0953236935492133	0.158746092441616	FALSE
Fgd3	12.3731723888761	12.2824311171167	12.471510107801	12.2714951263447	12.3071609551362	12.2267011845517	12.4472304852006	12.5122589903888	12.338432771943	12.4209339315723	12.3594146493152	11.8376161077538	12.0440422829249	11.8769964862207	12.2067732405854	12.5395635427584	12.4531754459266	12.5381404209799	12.5992805950173	12.609455797652	12.5479231604669	12.06496855336	-0.482954607106853	0.00637920530272894	0.0186871659010962	FALSE
Arb2a.Fam172a	13.0813902291272	12.8244138492716	13.1163553337887	12.8362239731168	12.9892490166201	12.9043354402685	12.985032506029	12.8941697689286	13.3160976471305	13.0847602307435	13.3205185246327	13.3763696171989	13.2521184054302	13.4250191587427	13.2186268029725	12.9524045547952	12.7186698613795	13.1946414465128	13.0261309013768	13.2777407141306	13.033917495639	13.3185305017954	0.284613006156439	0.0406433338307839	0.0799389440678367	FALSE
