Group Labels	KO_TP_1	KO_TP_2	KO_TP_3	KO_TP_4	KO_TP_5	KO_baseline_1	KO_baseline_2	KO_baseline_3	KO_baseline_4	KO_baseline_5	WT_TP_1	WT_TP_2	WT_TP_3	WT_TP_4	WT_TP_5	WT_baseline_1	WT_baseline_2	WT_baseline_3	WT_baseline_4	WT_baseline_5
Q7TSS2	11508.6	10721.2	12562.6	12491.4	10957.6	14145.5	14031.6	14336.2	15992.1	14868.7	15888.2	13657.7	13853.9	11587.9	11578.8	15289.1	13620.3	15560.7	16302.9	15089
Q7TSV4	47895.2	47778.3	46063.2	54103.5	41940.9	54788	38609.7	58565.2	55022.6	60363.7	67468.3	59487	54162	56235	56855.5	65232.8	65482.3	67878.5	63304.9	41360.2
Q7TSY8	1823.1	2925.83	1459.15	1865.48	3068.5	4296.31	4987.05	4965.31	3036.65	3510.59	5773.5	5458.63	5536.4	5334.49	4630.14	5404.99	5726.51	7458.66	6111.2	6470.14
Q7TSZ8	10221.1	7523.67	8850.38	8170.15	8278.79	13065.5	15584.6	12364.5	16649	11711.4	15235.6	17409.8	16235.9	16806.8	15057.2	17357.1	13199	16410.4	16289.3	16099.1
Q7TT00-2	2417.11	3142.42	2695.26	1692.28	2964.57	2496.21	3442.82	3746.35	2984.11	3969.93	3303.01	2691.22	3611.62	3181.63	3498.28	3193.07	4149.2	2501.99	4102.71	3506.18
Q7TT18	15725.5	13554.9	17966.3	16018.2	12242.7	19147.7	19061.4	19093.3	22362.6	19583.1	29941	24510	23557.6	27034.7	25361.6	19599.1	19768.9	22175.3	19801.3	19482.5
Q7TT37	32506.5	32459.4	34865	31081	30145.2	29669.7	31735.2	31248.1	31813.5	32826.8	31171.1	29962.4	27947	28253.1	27572	29254.9	27123.1	32376.7	30063.7	31232.1
Q7TT79	1596.33	1075.3	1679.17	1298.93	1447.41	2585.26	2957.42	3256.56	2277.25	3212.82	2279.52	2591.95	2375.73	2354.55	2262.01	3716.66	4881.83	4598.08	4422.55	4045.29
Q80SW1	64604.4	63102.2	68797.9	66083.2	63138	53055	53285.8	52661.9	59130.5	59018.9	68201.1	62227.1	58987.2	65131.2	61434.8	52975.1	51797.5	53813.3	55631.6	55712.4
Q80SY4	7168.45	5897.04	6432.35	6009.67	5698.43	5246.28	5296.44	5396.23	5725.15	6183.26	7531.26	6064.92	5143.92	6961.75	5744.35	5013.5	4944.99	4979.12	4304.27	5591.55
